式神,生命,攻击,防御,速度,暴击,效果命中,效果抵抗,一技能,一技能描述,一技能强化,二技能,二技能描述,二技能强化,三技能,三技能描述,三技能强化,觉醒效果,觉醒技能,觉醒技能描述,觉醒技能强化
海坊主,10139.88,3055.2,427.77,109,0.05,0,0,水龙卷,以妖力升腾身边的水流，形成水流龙卷攻击敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",祝福之水,"使用技能或普攻造成伤害时，为生命比例最低的友方治疗，治疗等同该次伤害60%的生命。
在一次行动内重复治疗同个目标时，治疗依次递减15%。",,巨浪,用妖力汇聚身边的水流，形成波涛汹涌的巨大海浪席卷敌方全体，攻击3次，每次造成攻击33%伤害。,"Lv.2伤害增加至36%
Lv.3伤害增加至39%
Lv.4伤害增加至42%
Lv.5伤害增加至45%",觉醒技能增强,祝福之水,"使用技能或普攻造成伤害时，为生命比例最低的友方治疗，治疗等同该次伤害100%的生命。
在一次行动内重复治疗同个目标时，治疗依次递减15%。",
清姬,11848.68,2412,467.46,105,0.05,0,0,蛇行击,鞭打敌方目标，造成攻击86%伤害，并有100%基础概率附加3级中毒，持续5回合；然后对其附加焚火，造成攻击22%间接伤害，持续1回合。,"Lv.2伤害增加至90%
Lv.3伤害增加至94%
Lv.4伤害增加至98%
Lv.5伤害增加至102%
Lv.6间接伤害增至33%",淬毒,"每当目标被清姬附加中毒时，同时降低其10点防御力，上限降低150点防御力，直到战斗结束。
多个清姬在场时，共用上限。",,焚身之火,喷吐火焰攻击敌方全体3次，每次造成攻击36%伤害，并有100%基础概率附加3级中毒，持续5回合；然后对敌方全体附加焚火，造成攻击66%间接伤害，持续1回合。,"Lv.2伤害增加至38%
Lv.3伤害增加至40%
Lv.4伤害增加至42%
Lv.5间接伤害增至99%",觉醒技能增强,淬毒,"每当目标被清姬附加中毒时，同时降低其20点防御力，上限降低300点防御力，直到战斗结束。
多个清姬在场时，共用上限。",
炼狱茨木童子,9228.52,3055.2,339.57,102,0.15,0,0,鬼爪,挥动鬼爪猛烈攻击敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",狂意,当『炼狱之门』的鬼焰将攻击超过1名敌方时，每有1个额外敌方可使鬼焰提升10%伤害，上限20%。,"Lv.2上限增至30%
Lv.3上限增至40%
Lv.4上限增至50%
Lv.5若鬼焰击杀非召唤物的敌方，其后鬼手的攻击将额外附加一段伤害，等同先前鬼焰过量伤害的总和",炼狱之门,"催动强劲的妖力，打开炼狱之门，号令汹涌而出的鬼焰对敌方全体造成攻击131%伤害，然后召唤出巨大的鬼手粉碎敌方目标，造成攻击131%伤害。
若所选目标被鬼焰击杀，鬼手会攻击生命最高的敌方。","Lv.2鬼焰和鬼手伤害增加至138%
Lv.3鬼焰和鬼手伤害增加至145%
Lv.4鬼焰和鬼手伤害增加至151%
Lv.5鬼焰和鬼手伤害增加至164%",,炼狱之门,"催动强劲的妖力，打开炼狱之门，号令汹涌而出的鬼焰对敌方全体造成攻击131%伤害，然后召唤出巨大的鬼手粉碎敌方目标，造成攻击131%伤害。
若所选目标被鬼焰击杀，鬼手会攻击生命最高的敌方。","Lv.2鬼焰和鬼手伤害增加至138%
Lv.3鬼焰和鬼手伤害增加至145%
Lv.4鬼焰和鬼手伤害增加至151%
Lv.5鬼焰和鬼手伤害增加至164%"
烟烟罗,10595.56,3162.4,392.49,112,0.05,0,0,蹂躏,将烟雾小鬼踢向敌方目标，烟雾小鬼爆炸造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",扑朔迷离,受到伤害时，有30%概率使该次伤害降低20%。,"Lv.2触发概率增至35%
Lv.3降低伤害效果，增至25%
Lv.4触发概率增至40%
Lv.5降低伤害效果，增至30%",烟之鬼,酣畅攻击敌方目标5次，每次造成攻击19%伤害，最后对敌方全体造成攻击44%伤害；前5次攻击的每次暴击，都会使最后的伤害提升30%。,"Lv.2前5次伤害增至20%，最后全体伤害增至46%
Lv.3前5次伤害增至21%，最后全体伤害增至48%
Lv.4前5次伤害增至22%，最后全体伤害增至51%
Lv.5前5次伤害增至23%，最后全体伤害增至53%",觉醒技能增强,扑朔迷离,"受到伤害时，有30%概率使该次伤害降低20%。
攻击时，有10%基础概率将敌方变形为烟雾小鬼，持续1回合。","Lv.2触发概率增至35%
Lv.3降低伤害效果，增至25%
Lv.4触发概率增至40%
Lv.5降低伤害效果，增至30%"
犬夜叉,11393,2974.8,392.49,114,0.1,0,0,风之伤,"挥动铁碎牙打出蕴含风之力的强力一击攻击敌方目标，造成攻击100%伤害，并使自身有10%概率获得1层风劲，上限5层。
回合结束后，获得1层风劲。","Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",爆流破,当敌方消耗鬼火后，若自身未承受控制效果，有10%概率（每层风劲额外提升16%）对其进行反击，造成攻击176%伤害并消耗所有风劲层数，每层额外提升该次伤害10%。,,铁碎牙,使出全力挥舞铁碎牙释放多重刀气，攻击7次，每次对随机敌方目标造成攻击40%伤害，并有80%的概率额外攻击一个随机敌方目标。,"Lv.2伤害增加至42%
Lv.3伤害增加至44%
Lv.4伤害增加至46%
Lv.5伤害增加至50%",觉醒技能增强,爆流破,"当敌方消耗鬼火后，若自身未承受控制效果，有10%概率（每层风劲额外提升16%）对其进行反击，造成攻击176%伤害并消耗所有风劲层数，每层额外提升该次伤害10%。
每次触发后，都将使""铁碎牙""得到进化，依序为血红铁碎牙、金刚铁碎牙、龙鳞铁碎牙、漆黑铁碎牙。",
犬神,10253.8,3001.6,432.18,109,0.1,0,0,心斩,使出独创剑法，依照心中的觉悟挥剑，迅速斩向敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",,,,心剑乱舞,"疾速冲锋至敌阵使出心剑，攻击5次，优先攻击没攻击过的敌方目标，每次造成攻击92%伤害。
重复攻击同一目标时，伤害依次递减50%。","Lv.2伤害增加至96%
Lv.3伤害增加至100%
Lv.4伤害增加至104%
Lv.5伤害增加至108%",觉醒添加技能,守护,"唯一效果。
战斗开始及回合结束时，使半数友方（向下取整，生命比例低优先）获得守护印记。
每次触发守护印记的反击后，能使自身提升攻击（等同受反击敌方30%攻击），最多提升至基础攻击210%，直到下个回合结束。","Lv.2反击伤害增加至115%
Lv.3反击伤害增加至120%
Lv.4反击伤害增加至125%
Lv.5反击伤害增加至135%"
独眼小僧,11734.76,2519.2,454.23,118,0.08,0,0,投石,把日夜努力锻炼出的扔石子技术用于攻击敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",,,,石像冲击,往前冲锋，以石菩萨猛击敌方目标，造成攻击163%伤害，并有25%基础概率使其眩晕，持续1回合。,"Lv.2伤害增加至171%
Lv.3伤害增加至179%
Lv.4伤害增加至187%
Lv.5伤害增加至195%",觉醒添加技能,金刚经,受到伤害时，使友方全体获得金刚经，持续1回合。,"Lv.2金刚经提升效果抵抗效果增至15%
Lv.3金刚经反伤效果增至15%
Lv.4金刚经提升效果抵抗效果增至20%
Lv.5金刚经反伤效果增至20%"
狸猫,12873.96,2358.4,436.59,109,0.08,0,0,妖酒壶,用酒壶狠狠地砸敌方目标的脑门，造成攻击100%伤害并附加1层酒气，上限5层，持续至战斗结束。此外还有50%基础概率对其挑衅，持续1回合。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至120%",醉倒,"回合结束时，有20%概率醉倒，直至下回合醒来并治疗生命上限6%的生命。
醉倒时若被攻击，有50%概率被吵醒，并为攻击者附上1层酒气，上限5层，持续至战斗结束。","Lv.2治疗增至8%
Lv.3被吵醒时，将增加自身30%行动条
Lv.4醉倒概率增至40%
Lv.5被吵醒时，改为对敌方全体附上1层酒气",烈焰之酒,喝下一口妖酒，治疗生命上限18%的生命，再喷出妖火攻击敌方全体，造成等同自身当前生命12%伤害。,"Lv.2伤害增加至14%
Lv.3伤害增加至16%
Lv.4伤害增加至18%
Lv.5伤害增加至20%",觉醒技能增强,烈焰之酒,喝下一口妖酒，治疗生命上限18%的生命，再喷出妖火攻击敌方全体，造成等同自身当前生命12%伤害，敌方每带有1层酒气，便转为1层酒火，造成自身生命上限5%间接伤害，持续1回合。,"Lv.2伤害增加至14%
Lv.3伤害增加至16%
Lv.4伤害增加至18%
Lv.5伤害增加至20%"
猫掌柜,10709.48,3001.6,414.54,118,0.1,0,0,猫猫召来,"攻击敌方目标造成攻击80%伤害，并随机呼唤以下其中一只小猫助攻。
黑之助：60%概率削减1点鬼火
雪姬：造成攻击40%伤害
茶茶：击退20%行动条","Lv.2伤害增加至84%
Lv.3伤害增加至88%
Lv.4伤害增加至92%
Lv.5伤害增加至100%",猫合战,注入妖力让橘乃变大并骑乘2回合，期间提升20点速度，且每次呼唤小猫改为其中两只。,,猫猫乱斗,攻击敌方目标5次，每次造成攻击42%伤害，并随机呼唤『猫猫召来』所列其中一只小猫助攻。,"Lv.2伤害增加至44%
Lv.3伤害增加至46%
Lv.4伤害增加至48%
Lv.5伤害增加至50%",觉醒技能增强,猫合战,注入妖力让橘乃变大并骑乘2回合，期间提升20点速度、40%效果抵抗，且每次呼唤小猫改为其中两只。,
玉藻前,12532.2,3350,352.8,110,0.12,0,0,灵击,使用灵气攻击敌方目标，造成攻击100%伤害并有10%基础概率使其混乱1回合。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",狐火,凝聚狐火攻击敌方目标，造成攻击263%伤害；对生命比例高于80%的敌方，伤害降低15%。,"Lv.2伤害增加至276%
Lv.3对生命比例低于50%的敌方，伤害提升15%
Lv.4伤害增加至289%
Lv.5若击杀敌方，接着免消耗施放1次『堕天』",堕天,爆发自身力量攻击敌方全体，造成攻击131%伤害；对生命比例低于50%的敌方，伤害降低15%。,"Lv.2伤害增加至138%
Lv.3对生命比例高于80%的敌方，伤害提升15%
Lv.4伤害增加至145%
Lv.5若击杀敌方，接着对生命比例最低的敌方，免消耗施放1次『狐火』",属性增强:忽略防御增加100,,,
白狼,10823.4,3082,396.9,112,0.1,0,0,文射,射出注入了妖力的箭矢攻击敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",冥想,行动结束时，30%概率进入冥想姿态，在下个回合开始时，提升20%暴击伤害，持续1回合。,,无我,进入无我之境，射出注入全部妖力的箭矢，使此次攻击提升30%暴击，对敌方目标造成攻击237%伤害。,"Lv.2伤害增加至249%
Lv.3伤害增加至261%
Lv.4伤害增加至273%
Lv.5伤害增加至285%",觉醒技能增强,无我,"进入无我之境，射出注入全部妖力的箭矢，使此次攻击提升30%暴击，对敌方目标造成攻击237%伤害。
若击杀敌方，使自身增加60%行动条。","Lv.2伤害增加至249%
Lv.3伤害增加至261%
Lv.4伤害增加至273%
Lv.5伤害增加至285%"
白童子,10481.64,3189.2,392.49,113,0.05,0,0,罪罚·白,还不熟练地使用鬼火攻击敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",,,,招魂,"使用巨化小鬼攻击敌方全体，造成攻击106%伤害。使友方全体获得白之护，维持1回合。在所有阵亡目标的位置召唤其魂魄，魂魄只能普攻，存在1回合。
魂魄继承该位置目标100%攻击，在被召唤时立即普攻随机敌方目标。","Lv.2伤害增加至111%
Lv.3伤害增加至116%
Lv.4伤害增加至121%
Lv.5伤害增加至126%",觉醒添加技能,不灭,敌方式神阵亡时，使用普攻攻击随机敌方目标。,
白藏主,14241,1822.4,471.87,111,0.05,0,0,炎影,对敌方目标造成攻击100%伤害，并有100%基础概率附加残炎，持续1回合。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",守护誓约,"唯一效果。
回合结束后，使其他友方获得狐影·守，维持至下个回合开始。","Lv.2狐影·守吸收效果增至30%
Lv.3狐影·守被击破时，若白藏主未受到控制，则反击伤害来源，造成生命上限10%伤害，并有100%基础概率使其降低30%暴击，持续1回合（该效果不可叠加）；多个狐影·守同时被击破时，伤害不累加
Lv.4狐影·守吸收效果增至40%
Lv.5自身永久提升60点速度、60%效果抵抗，每个友方拥有的狐影·守，使此效果降低10点速度和10%效果抵抗",梦山狐影,开启存在1回合的狐影结界，任何友方受到单体伤害和间接伤害时，使该次伤害降低35%。,"Lv.2伤害降低增至40%
Lv.3伤害降低增至45%
Lv.4伤害降低增至50%
Lv.5存在时间增至2回合",觉醒技能增强,梦山狐影,"开启存在1回合的狐影结界，任何友方受到单体伤害和间接伤害时，使该次伤害降低35%。
在每个回合（不论敌我）开始时，选定生命比例最低的友方目标，若自身未承受控制效果，则可在该回合内代替该友方承受所有伤害。","Lv.2伤害降低增至40%
Lv.3伤害降低增至45%
Lv.4伤害降低增至50%
Lv.5存在时间增至2回合"
百目鬼,9456.36,2733.6,507.15,118,0.03,0,0,瞳炎,释放瞳炎攻击敌方目标，造成攻击100%伤害；若目标处于凝视状态，则使状态延长1回合。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至120%",鬼眸,当敌方造成伤害暴击时，百目鬼有40%概率睁开一只鬼眸；当睁开5只鬼眸时，将免消耗施放『诅咒之眼』，之后闭上所有鬼眸。,"Lv.2触发概率增至50%
Lv.3触发概率增至60%
Lv.4触发概率增至70%
Lv.5触发概率增至80%",诅咒之眼,用摄人心魄的鬼眼凝视敌方全体，100%基础概率为其附加凝视状态，持续1回合，使敌方所有主动技能被替换为邪光。,"Lv.2邪光伤害增加至222%
Lv.3邪光伤害增加至233%
Lv.4邪光伤害增加至244%
Lv.5消耗鬼火减少1点",觉醒技能增强,诅咒之眼,用摄人心魄的鬼眼凝视敌方全体，100%基础概率为其附加凝视状态，持续1回合，使敌方所有主动技能被替换为邪光，施放时需消耗3点鬼火。,"Lv.2邪光伤害增加至222%
Lv.3邪光伤害增加至233%
Lv.4邪光伤害增加至244%
Lv.5消耗鬼火减少1点"
稻荷神御馔津,10253.8,2787.2,436.59,99,0.1,0,0,狐铃,摇响赐福的铃铛，派出随机1只狐狸攻击敌方目标，造成攻击80%伤害，并有50%基础概率为其附加沉默、封印、压制、减疗50%其中之一，持续1回合。,"Lv.2伤害增加至85%
Lv.3伤害增加至90%
Lv.4伤害增加至95%
Lv.5基础概率增至100%",狐狩·日曜界,"创造存在1回合的日曜结界，此期间，友方全体提升20点速度、20%效果抵抗。
每当友方回合结束后，使行动条最前端的另一友方增加20%行动条。","Lv.2友方增加行动条时，40%概率驱散其带有的1个减益状态或控制效果
Lv.3驱散概率增至80%
Lv.4驱散数量增至2个
Lv.5增加行动条效果增至25%",狐狩·月影界,"创造存在1回合的月影结界，此期间，友方全体提升20%攻击、20%防御。
敌方回合结束后，使用『狐铃』攻击该敌方，不触发其御魂及被动，并且附带的减益效果持续时间增至2回合。","Lv.2提升攻击、防御效果增至25%
Lv.3结界期间，自身额外提升30点速度、30%效果抵抗
Lv.4提升攻击、防御效果增至30%
Lv.5先机：施放『狐狩·月影界』",,狐狩·月影界,"创造存在1回合的月影结界，此期间，友方全体提升20%攻击、20%防御。
敌方回合结束后，使用『狐铃』攻击该敌方，不触发其御魂及被动，并且附带的减益效果持续时间增至2回合。","Lv.2提升攻击、防御效果增至25%
Lv.3结界期间，自身额外提升30点速度、30%效果抵抗
Lv.4提升攻击、防御效果增至30%
Lv.5先机：施放『狐狩·月影界』"
童女,12987.88,2412,423.36,109,0.05,0,0,羽刺,以妖力硬化自身的羽毛射向敌方目标，造成攻击100%伤害，并获得羽护，持续1回合。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至120%",羽衣,受到伤害时，抵挡等同生命上限3%的伤害，最多抵挡该次伤害的40%。,"Lv.2抵挡比例增至3.5%
Lv.3抵挡比例增至4%
Lv.4抵挡比例增至4.5%
Lv.5抵挡比例增至5%",命之祭献,"牺牲30%当前生命，为除自身外的友方全体治疗生命上限10%生命。
若自身生命比例低于30%，同时治疗自身。","Lv.2治疗增至15%
Lv.3治疗增至20%
Lv.4牺牲生命减至20%",觉醒技能增强,命之祭献,"牺牲30%当前生命，为除自身外的友方全体治疗生命上限10%生命并获得命之护佑，持续1回合。
若自身生命比例低于30%，同时治疗自身及获得命之护佑。","Lv.2生命恢复额外+50%
Lv.3生命恢复额外+50%
Lv.4消耗的生命比例降低为20%"
童男,12760.04,2438.8,427.77,103,0.05,0,0,羽刃,以妖力硬化自身的羽毛射向敌方目标，造成攻击100%伤害并有100%基础概率附加障目，持续2回合。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",羽衣,受到伤害时，抵挡等同生命上限3%的伤害，最多抵挡该次伤害的40%。,"Lv.2抵挡比例增至3.5%
Lv.3抵挡比例增至4%
Lv.4抵挡比例增至4.5%
Lv.5抵挡比例增至5%",魂之祭献,牺牲自身，复活除自身外的友方全体，并为其治疗生命上限30%生命。,,觉醒技能增强,魂之祭献,牺牲自身，复活除自身外的友方全体，并为其治疗生命上限30%生命及增加30%行动条。,
管狐,10595.56,3001.6,418.95,108,0.1,0,0,竹管投掷,旋转竹管并狠狠扔向敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",,,,爆轰炮,将妖力注入竹管，喷出雷云弹爆轰敌方目标，造成攻击221%伤害并有50%的概率削减1点鬼火，暴击时概率提升至100%。,"Lv.2伤害增加至233%
Lv.3伤害增加至244%
Lv.4伤害增加至255%
Lv.5伤害增加至266%",觉醒添加技能,竹之护,钻入竹管中，增加30%行动条并获得1层狐怒印记，上限4层。钻入时获得不可驱散的护盾，能吸收20％生命上限的伤害并提升100%防御；若此护盾被摧毁，则管狐失去所有狐怒印记层数并眩晕1回合。,"Lv.2护盾吸收量增至25%
Lv.3护盾吸收量增至30%
Lv.4护盾同时提升100%效果抵抗"
络新妇,10253.8,3537.6,396.9,112,0.1,0,0,毒针,跳至敌方目标面前攻击，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",蜘蛛印记,造成伤害时，40%基础概率为目标附加蛛印，持续2回合。,,噬心食髓,"释放蜘蛛群攻击敌方全体，造成攻击72%伤害，并有20%基础概率使其眩晕1回合。
若其速度属性低于络新妇，每5点速度差，提升1%基础概率。","Lv.2伤害增加至76%
Lv.3伤害增加至80%
Lv.4伤害增加至83%
Lv.5对未被眩晕的目标附加噬心毒液，回合后造成攻击136%间接伤害，持续1回合。若其速度属性高于络新妇，每1点速度差，提升1%间接伤害。",属性增强:攻击加成增加10%,,,
般若,10595.56,3135.6,396.9,114,0.1,0,0,鬼之假面,甩出鬼面具攻击敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%，鬼之爪伤害增加至94.5%
Lv.3伤害增加至110%，鬼之爪伤害增加至99%
Lv.4伤害增加至115%，鬼之爪伤害增加至103.5%
Lv.5伤害增加至120%，鬼之爪伤害增加至108%",嫉恨之心,攻击时，有40%基础概率为目标附加鬼面，持续2回合。,,鬼袭,巨大的鬼面袭向敌方全体，造成攻击110%伤害，并使自身狂暴，替换普攻为鬼之爪，持续2回合。,"Lv.2伤害增加至115%
Lv.3伤害增加至120%
Lv.4伤害增加至125%
Lv.5伤害增加至130%",觉醒技能增强,嫉恨之心,"攻击时，有40%基础概率为目标附加鬼面，持续2回合。
鬼面将可使式神被动技能失效。",
花鸟卷,14127.08,2304.8,396.9,112,0.05,0,0,归鸟,"使唤身旁的所有飞鸟攻击敌方目标，根据拥有的飞鸟数量来决定攻击次数，每次造成攻击40%伤害，并有50%概率为生命比例最低的友方治疗10%生命上限的生命。
回合开始或没有飞鸟时，补充1只飞鸟，上限2只。
进行反击将消耗1只飞鸟。","Lv.2治疗概率增至60%
Lv.3治疗概率增至70%
Lv.4治疗概率增至80%
Lv.5飞鸟上限增至3只",,,,花鸟相闻,为友方全体治疗生命上限8%的生命，并使之获得芬芳，持续2回合，依序治疗生命上限7%、6%的生命。,"Lv.2治疗增至10%
Lv.3芬芳依序治疗增至9%、8%
Lv.4治疗增至12%
Lv.5芬芳依序治疗增至11%、10%",觉醒添加技能,画境,"行动结束时，有20%概率增加20%行动条。
唯一效果，自身及友方受到控制时，有30%概率消耗1只飞鸟来抵挡该控制效果。","Lv.2行动结束触发概率增至25%
Lv.3增加行动条效果增至25%
Lv.4行动结束触发概率增至30%
Lv.5增加行动条效果增至30%"
苍风一目连,10367.72,3028.4,308.7,111,0.1,0,0,风符·灭,以风龙之力攻击敌方目标，造成攻击80%伤害，并获得等同该次伤害的风盾，持续3回合。,"Lv.2伤害增加至85%
Lv.3伤害增加至90%
Lv.4伤害增加至95%
Lv.5伤害增加至100%",风符·守,"在每个行动（不论敌我）结束时，使生命比例低于30%的友方目标获得风盾，能吸收攻击188%的伤害（不超过目标生命上限的200%），3回合冷却。
当友方失去风盾时，增加自身12%行动条。
【施放】使友方目标获得风盾，能吸收攻击188%的伤害（不超过目标生命上限的200%），持续3回合。","Lv.2风盾吸收量增至198%
Lv.3风盾吸收量增至207%
Lv.4风盾吸收量增至217%
Lv.5冷却回合数减至2",风止·苍龙坠,"神龙直冲云霄，召唤风暴轰击敌方全体，造成攻击158%伤害，若该伤害使目标生命比例低于50%，有100%基础概率为其附加孤立，持续1回合。
然后消耗友方全体拥有的风盾，每消耗一个，便对随机敌方目标造成攻击158%伤害，并有100%基础概率为其附加龙怒，持续2回合。","Lv.2伤害均增加至166%
Lv.3伤害均增加至174%
Lv.4伤害均增加至182%
Lv.5消耗风盾时，为原本拥有的友方恢复等同剩余盾量的生命",,风止·苍龙坠,"神龙直冲云霄，召唤风暴轰击敌方全体，造成攻击158%伤害，若该伤害使目标生命比例低于50%，有100%基础概率为其附加孤立，持续1回合。
然后消耗友方全体拥有的风盾，每消耗一个，便对随机敌方目标造成攻击158%伤害，并有100%基础概率为其附加龙怒，持续2回合。","Lv.2伤害均增加至166%
Lv.3伤害均增加至174%
Lv.4伤害均增加至182%
Lv.5消耗风盾时，为原本拥有的友方恢复等同剩余盾量的生命"
茨木童子,10253.8,3216,396.9,112,0.1,0,0,黑焰,以鬼气凝成黑色火焰攻击敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",迁怒,攻击时，若击杀非召唤物的敌人，对敌方全体造成等同过量伤害50%伤害并消耗所有的怒火；未造成击杀，则获得1层怒火，上限3层。,,地狱之手,以鬼之力从地狱唤出自己的手腕扑击敌方目标，造成攻击263%伤害。,"Lv.2伤害增加至276%
Lv.3伤害增加至289%
Lv.4伤害增加至302%
Lv.5伤害增加至315%",觉醒技能增强,迁怒,攻击时，若击杀非召唤物的敌人，对敌方全体造成等同过量伤害100%伤害并消耗所有的怒火；未造成击杀，则获得1层怒火，上限3层。,
荒川之主,11051.24,3001.6,401.31,111,0.2,0,0,游鱼,以黑色妖力将水凝成鱼形攻击敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",逐流,暴击时额外造成20%伤害，使自身被附加逐流，持续1回合。,,吞噬,"以黑色妖力凝成鱼群攻击敌方目标2次，首次造成攻击53%伤害并有100%基础概率附加孤立，持续2回合。第二次造成攻击211%伤害。
首次攻击将驱散目标随机1～2个增益状态，每个成功驱散会使第二次攻击伤害提升5%。","Lv.2第二次伤害增加至226%
Lv.3第二次伤害增加至241%
Lv.4第二次伤害增加至256%
Lv.5第二次伤害增加至270%",属性增强:暴击增加10%,,,
荒,10253.8,3323.2,489.51,104,0.1,0,0,星轨,释放星束攻击敌方目标，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",星辰之境,回合开始前，有30%概率创造存在1回合的幻境；幻境中，任一友方对敌方进行普攻时，荒有50%概率协战。,"Lv.2释放幻境概率增至40%
Lv.3释放幻境概率增至50%
Lv.4释放幻境概率增至60%
Lv.5若鬼火数量不少于6点，则必定释放幻境",天罚·星,召唤流星攻击敌方目标3次，首次造成攻击104%伤害，后续伤害依次递减25%。,"Lv.2伤害增加至109%，同时强化『天罚·月』
Lv.3伤害增加至115%，同时强化『天罚·月』
Lv.4伤害增加至120%，同时强化『天罚·月』
Lv.5若击杀敌方，后续流星改为对敌方全体造成伤害，同时强化『天罚·月』",觉醒技能增强,星辰之境,"回合开始前，有30%概率创造存在1回合的幻境；幻境中，任一友方对敌方进行普攻时，荒有50%概率协战。
在幻境中，获得额外技能『天罚·月』。","Lv.2释放幻境概率增至40%
Lv.3释放幻境概率增至50%
Lv.4释放幻境概率增至60%
Lv.5若鬼火数量不少于6点，则必定释放幻境"
萤草,11393,2680,441,103,0.1,0,0,吸取,汇聚妖力攻击敌方目标，造成攻击100%伤害，并附带30%吸血。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5伤害增加至125%",生花,"受到攻击时，治疗攻击15%的生命。
单次攻击内最多触发1次。","Lv.2治疗增至16%
Lv.3治疗增至17%
Lv.4治疗增至18%
Lv.5治疗增至19%",治愈之光,为友方全体治疗攻击87%的生命。,"Lv.2治疗增至91%
Lv.3治疗增至95%
Lv.4治疗增至99%
Lv.5治疗增至104%",觉醒技能增强,治愈之光,"为友方全体治疗攻击87%的生命，并使之获得光合作用，持续2回合，每回合治疗攻击22%的生命。
光合作用期间，每回合首次受到的间接伤害将被转化为等量的治疗。","Lv.2治疗增至91%，光合作用治疗增至23%
Lv.3治疗增至95%，光合作用治疗增至24%
Lv.4治疗增至99%，光合作用治疗增至25%
Lv.5治疗增至104%，光合作用治疗增至26%"
薰,13899.24,2251.2,396.9,111,0.03,0,0,干扰投掷,调皮地朝敌方目标投掷石头，造成攻击100%伤害。,"Lv.2伤害增加至105%
Lv.3伤害增加至110%
Lv.4伤害增加至115%
Lv.5对拥有4个或更多增益的目标，额外击退15%行动条",,,,温柔的守护,"牺牲30%当前生命，使友方目标获得鸮之守，维持1回合；并对友方全体各驱散1个减益状态或是控制效果。
然后若薰处于警戒状态，则使仍承受控制效果的友方获得鸮之舞，持续2回合；否则获得4点鬼火。","Lv.2鸮之守消失时，友方失去的生命减少至记录值70%
Lv.3消耗鬼火减少1点
Lv.4鸮之守消失时，友方失去的生命减少至记录值60%
Lv.5先机：使生命最少的友方获得鸮之守，维持1回合",觉醒添加技能,鸮之警惕,"唯一效果。
每个回合（不论敌我）开始时，在「玩耍／警戒」两种状态之间切换。
薰平常为玩耍状态，若承受控制效果的友方达2个或更多，薰会进入警戒状态。","Lv.2警戒状态，提升抵抗效果增至50%
Lv.3警戒状态，提升抵抗效果增至60%
Lv.4警戒状态，提升速度效果增至15点
Lv.5若处于玩耍状态，在自身回合结束时，使友方全体提升10%伤害，直到切换状态为止。"
